"((3, 6), (4, 1))",[0. 0. 0. 0.]
"((0, 4), (2, 1))",[-287.83545809 -292.05015605 -290.1575466  -290.28384089]
"((1, 4), (2, 1))",[-287.45541803 -287.16532216 -292.07858521 -287.23139894]
"((2, 4), (2, 1))",[-285.93298067 -282.30397917 -508.5        -280.18205784]
"((0, 5), (2, 1))",[-290.37513301 -285.11067402 -292.82633028 -511.        ]
"((1, 5), (2, 1))",[-287.90036011 -283.46436389 -284.49223587 -510.5       ]
"((2, 5), (2, 1))",[-282.24834693 -279.20229731 -283.15832951 -510.        ]
"((3, 4), (2, 1))",[-278.70179768 -275.8731377  -509.         -280.79716317]
"((0, 4), (3, 2))",[-292.39431077 -290.66312348 -297.83312817 -295.83298922]
"((1, 4), (3, 2))",[-294.79689949 -291.48188508 -296.42639155 -291.67275906]
"((2, 4), (3, 2))",[-290.26108908 -287.09451339 -507.5        -285.7429515 ]
"((0, 5), (3, 2))",[-289.66858443 -290.64384797 -290.77959989 -892.5       ]
"((1, 5), (3, 2))",[-287.8516653  -285.88179573 -290.59282464 -509.5       ]
"((2, 5), (3, 2))",[-282.97039137 -282.33157856 -285.87039465 -509.        ]
"((3, 4), (3, 2))",[-284.65236921 -282.53721223 -507.         -280.41936542]
"((1, 3), (2, 2))",[-273.74561034 -761.25       -278.09551204 -272.59135666]
"((0, 3), (2, 2))",[-273.54936237 -277.45055373 -275.34679957 -276.15645469]
"((2, 3), (2, 2))",[0. 0. 0. 0.]
"((1, 6), (3, 1))",[0. 0. 0. 0.]
"((5, 2), (1, 2))",[-265.01346534 -265.27003536 -267.31743676 -510.        ]
"((5, 1), (1, 2))",[-267.43322706 -261.89400891 -263.58327591 -265.49219911]
"((5, 0), (1, 2))",[-264.52769626 -256.60080236 -256.60080236 -263.85730037]
"((4, 3), (1, 2))",[0. 0. 0. 0.]
"((4, 3), (1, 1))",[0. 0. 0. 0.]
"((0, 4), (2, 2))",[-266.75665272 -269.99364846 -274.64008942 -272.14046914]
"((1, 4), (2, 2))",[-269.20159356 -267.14375315 -269.16569638 -267.93241004]
"((2, 4), (2, 2))",[-266.65046556 -260.27454835 -507.5        -259.11095662]
"((0, 5), (2, 2))",[-265.27003536 -269.91642029 -270.3154332  -510.        ]
"((1, 5), (2, 2))",[-266.14074088 -263.10234213 -269.49015702 -764.25      ]
"((2, 5), (2, 2))",[-263.91520395 -254.29016402 -255.41745541 -509.        ]
"((3, 4), (2, 2))",[-254.8879029  -251.98346568 -762.         -257.45256979]
"((0, 6), (3, 2))",[0. 0. 0. 0.]
"((0, 6), (2, 1))",[0. 0. 0. 0.]
"((5, 4), (4, 2))",[-292.83531338 -290.84011361 -507.         -289.66928812]
"((4, 3), (4, 2))",[0. 0. 0. 0.]
"((5, 4), (4, 1))",[-304.56238251 -308.85579426 -508.         -306.55139458]
"((1, 6), (3, 2))",[0. 0. 0. 0.]
"((0, 2), (1, 2))",[-250.71178232 -251.83260689 -256.56947309 -249.90610435]
"((5, 5), (4, 2))",[-284.97967635 -288.37473918 -289.90998173 -284.63389536]
"((4, 6), (4, 2))",[-508.5        -280.40606099 -278.95999948 -278.62551307]
"((0, 6), (2, 2))",[0. 0. 0. 0.]
"((3, 5), (3, 1))",[-285.99938415 -281.97509426 -286.77854841 -764.25      ]
"((4, 4), (3, 1))",[-282.00777449 -281.20836014 -508.5        -282.53334885]
"((0, 1), (1, 1))",[-286.67356735 -281.38501412 -281.94265315 -290.49320981]
"((1, 6), (2, 1))",[0. 0. 0. 0.]
"((0, 3), (1, 2))",[-244.85298784 -240.0265141  -247.52830577 -242.37294801]
"((1, 3), (1, 2))",[-237.78056829 -762.75       -255.64365537 -238.71628328]
"((0, 4), (1, 2))",[-243.52608498 -239.54287993 -240.8343904  -244.9769023 ]
"((1, 4), (1, 2))",[-242.08680705 -235.55917896 -237.4827108  -237.34106752]
"((5, 3), (1, 1))",[0. 0. 0. 0.]
"((5, 5), (4, 1))",[-304.19662548 -304.70633733 -303.25373121 -305.7816261 ]
"((4, 6), (4, 1))",[-509.5        -295.75817654 -294.70338161 -296.7209262 ]
"((3, 5), (2, 1))",[-278.19944271 -274.39152009 -279.66039808 -510.5       ]
"((2, 6), (2, 1))",[0. 0. 0. 0.]
"((1, 4), (1, 1))",[-283.82713619 -278.34812573 -284.58331789 -281.05284668]
"((0, 4), (1, 1))",[-284.03394512 -280.60441089 -287.44907646 -285.35008006]
"((2, 4), (1, 1))",[-280.49386455 -272.32550309 -509.5        -272.25444833]
"((1, 5), (1, 1))",[-277.05270872 -280.18919054 -280.69138039 -510.5       ]
"((0, 5), (1, 1))",[-284.11376581 -285.03464654 -280.7634493  -511.        ]
"((2, 5), (1, 1))",[-273.21109147 -271.12479434 -273.49895371 -766.5       ]
"((3, 4), (1, 1))",[-274.10959273 -264.45747619 -510.         -261.34755247]
"((3, 5), (3, 2))",[-279.51284518 -277.40619206 -282.72494748 -762.75      ]
"((4, 4), (3, 2))",[-278.13815701 -276.79216528 -761.25       -274.03883403]
"((3, 3), (3, 2))",[0. 0. 0. 0.]
"((5, 3), (1, 2))",[0. 0. 0. 0.]
"((1, 6), (2, 2))",[0. 0. 0. 0.]
"((0, 6), (1, 1))",[0. 0. 0. 0.]
"((2, 6), (3, 1))",[0. 0. 0. 0.]
"((2, 6), (3, 2))",[0. 0. 0. 0.]
"((4, 5), (3, 1))",[-281.51209997 -281.31785018 -276.04512546 -276.55737918]
"((3, 6), (3, 1))",[0. 0. 0. 0.]
"((5, 6), (4, 2))",[-278.36412831 -280.68161556 -282.09875549 -281.53930397]
"((5, 7), (4, 2))",[-273.49049146 -274.42286946 -280.01607267 -275.08625382]
"((4, 7), (4, 2))",[-270.42872777 -274.80765584 -269.38829539 -274.24479265]
